producto;cantidad_g_ml;url_coto;tipo_producto;porcion
Azucar;1,23;https://www.cotodigital3.com.ar/sitios/cdigi/browse/catalogo-almac%C3%A9n-endulzantes-az%C3%BAcar/_/N-1w1x9xa;kilo;1.23
Dulce de batata;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-dulce-de-batata-esnaola-cja-500-grm/_/A-00004139-00004139-200;kilo;0.110
Mermelada;110;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mermelada-ciruela-emeth----pote-420-gr/_/A-00239579-00239579-200;kilo;0.110
Sal fina;120;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-sal-fina--celusal-paq-500-grm/_/A-00011362-00011362-200;kilo;0.12
Mayonesa;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-mayonesa-clasica-hellmanns-950-grm/_/A-00530667-00530667-200;kilo;0.06
Vinagre;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vinagre-alcohol-coto-pet-1-ltr/_/A-00059476-00059476-200;kilo;0.06
Caldo concentrado;60;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-caldo-en-cubos--wilde-gallina-bajo-en-sodio---caja-x-12-cubos/_/A-00531718-00531718-200;kilo;0.06
Gaseosas;750;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-gaseosa-coto----botella-225-l-/_/A-00081458-00081458-200;kilo;0.750
Jugos Concentrados;1,5;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-jugo-polvo-frutilla-arcor-sob-18-grm/_/A-00511825-00511825-200;kilo;1.5
Soda;1,2;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-soda-coto-sifon-2-l/_/A-00229481-00229481-200;kilo;1.2
Cerveza;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cerveza--quilmes---botella-1-l/_/A-00238214-00238214-200;kilo;0.5
Vino;570;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-vino-tinto--toro-ttb-1-ltr/_/A-00514834-00514834-200;kilo;0.570
Cafe;30;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-cafe-instantaneo-torrado-seleccion-arlistan-fra-50-grm/_/A-00259752-00259752-200;kilo;0.03
Yerba;510;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-yerba-mate-amanda-paquete-1-kg/_/A-00251289-00251289-200;kilo;0.510
Te en saquitos;-;https://www.cotodigital3.com.ar/sitios/cdigi/producto/-te-x-100-saquitos-filtro-diamantadotaragui-200-grm/_/A-00511774-00511774-200;unidad;
